
2015-01-12 00:03:07: Logger initialized...
2015-01-12 00:03:07: Properties loaded...
2015-01-12 00:03:07: Server 192.168.0.108 listening on port: 3000
2015-01-12 00:03:07: Database open
2015-01-12 00:03:08: Webserver 192.168.0.108 listening on port: 3001
2015-01-12 00:03:08: Web App Client connected: websocket-1
2015-01-12 00:08:08: Wep App Connection closed: websocket-1
2015-01-12 00:08:09: Web App Client connected: websocket-2
2015-01-12 00:13:09: Wep App Connection closed: websocket-2
2015-01-12 00:13:09: Web App Client connected: websocket-3
2015-01-12 00:18:11: Web App Login success: wwarme
2015-01-12 00:18:12: Stream started
2015-01-12 00:18:19: Process duration EVENT FRAME 14
2015-01-12 00:18:19: Process duration EVENT FRAME 2
2015-01-12 00:18:20: Process duration EVENT FRAME 435
2015-01-12 00:18:20: Process duration EVENT FRAME 161
2015-01-12 00:18:20: Process duration EVENT FRAME 153
2015-01-12 00:18:20: Process duration EVENT FRAME 157
2015-01-12 00:18:20: Process duration EVENT FRAME 145
2015-01-12 00:18:20: Process duration EVENT FRAME 190
2015-01-12 00:18:21: Process duration EVENT FRAME 139
2015-01-12 00:18:21: Process duration EVENT FRAME 1
2015-01-12 00:18:21: Process duration EVENT FRAME 219
2015-01-12 00:18:21: Process duration EVENT FRAME 143
2015-01-12 00:18:21: Process duration EVENT FRAME 167
2015-01-12 00:18:21: Process duration EVENT FRAME 144
2015-01-12 00:18:21: Process duration EVENT FRAME 148
2015-01-12 00:18:22: Process duration EVENT FRAME 165
2015-01-12 00:18:22: Process duration EVENT FRAME 139
2015-01-12 00:18:22: Process duration EVENT FRAME 130
2015-01-12 00:18:22: Process duration EVENT FRAME 133
2015-01-12 00:18:22: Process duration EVENT FRAME 146
2015-01-12 00:18:22: Process duration EVENT FRAME 131
2015-01-12 00:18:22: Process duration EVENT FRAME 149
2015-01-12 00:18:23: Process duration EVENT FRAME 223
2015-01-12 00:18:23: Process duration EVENT FRAME 227
2015-01-12 00:18:23: Process duration EVENT FRAME 168
